wave,flux,flux_err
15350.0,6.438299606956987e-13,1.243115609746142e-15
15400.0,6.440639708026741e-13,1.3344017037349578e-15
15450.0,6.418726570157266e-13,1.3360221372901032e-15
15500.0,6.408248246062644e-13,1.3154591992794559e-15
15550.0,6.282724815029227e-13,1.215082706849924e-15
15600.0,6.20898801673324e-13,1.092478876468439e-15
15650.0,6.139794438460727e-13,9.604103454569038e-16
15700.0,6.084568832861699e-13,8.886766170736926e-16
15750.0,6.000140189807039e-13,8.354468157300286e-16
15800.0,5.809871141482739e-13,8.050012797330818e-16
15850.0,5.777392714990982e-13,8.136900931061249e-16
15900.0,5.810338738960331e-13,8.222268078897364e-16
15950.0,5.696141320956927e-13,8.031639120728061e-16
16000.0,5.786363408008306e-13,8.176354090526081e-16
16050.0,5.684889070813378e-13,7.99763002678114e-16
16100.0,5.675682974836748e-13,8.115510744334363e-16
16150.0,5.613831214807887e-13,8.210457249796425e-16
16200.0,5.547521783776609e-13,8.276181903106135e-16
16250.0,5.579856553642521e-13,8.532428169397337e-16
16300.0,5.662523912186062e-13,8.853501701763618e-16
16350.0,5.567477666256497e-13,8.731702289198072e-16
16400.0,5.535039086536859e-13,8.537930452386268e-16
16450.0,5.459691414036827e-13,9.135344441451498e-16
16500.0,5.380879329708231e-13,9.48028513667799e-16
