wave flux flux_err
11321.63434996629 1.6930096198055106e-14 8.465048099027553e-16
11367.869344428153 1.7795873727622503e-14 8.897936863811252e-16
11414.104338890009 1.7493086155828266e-14 8.746543077914133e-16
11460.33933335187 1.7542693767138173e-14 8.771346883569087e-16
11506.57432781373 1.742978648042223e-14 8.714893240211115e-16
11552.809322275589 1.7029516552411492e-14 8.514758276205747e-16
11599.044316737449 1.721496966677159e-14 8.607484833385796e-16
11645.279311199309 1.704376858804039e-14 8.521884294020196e-16
11691.514305661167 1.6968485959364387e-14 8.484242979682194e-16
11737.749300123027 1.6792527961056477e-14 8.396263980528239e-16
11783.984294584887 1.6676712220302572e-14 8.338356110151287e-16
11830.219289046747 1.641077166008412e-14 8.20538583004206e-16
11876.454283508605 1.6109134769324296e-14 8.054567384662149e-16
11922.689277970465 1.606016073331627e-14 8.030080366658136e-16
11968.924272432327 1.6106107724455932e-14 8.053053862227966e-16
12015.159266894183 1.5639203034700683e-14 7.819601517350342e-16
12061.394261356045 1.5774492941392034e-14 7.887246470696017e-16
12107.629255817905 1.5730948325879692e-14 7.865474162939846e-16
12153.864250279763 1.5646851959926917e-14 7.823425979963459e-16
12200.099244741623 1.5743696948720827e-14 7.871848474360413e-16
12246.334239203483 1.5730175186204242e-14 7.865087593102122e-16
12292.569233665341 1.553722195100177e-14 7.768610975500886e-16
12338.804228127201 1.5478770975553694e-14 7.739385487776848e-16
12385.039222589061 1.544500048657222e-14 7.72250024328611e-16
12431.27421705092 1.5123076750343192e-14 7.561538375171597e-16
12477.50921151278 1.5067792116680722e-14 7.533896058340361e-16
12523.744205974639 1.5102011764819064e-14 7.551005882409533e-16
12569.979200436499 1.4911526734202768e-14 7.455763367101385e-16
12616.214194898359 1.4831899383625633e-14 7.415949691812817e-16
12662.449189360219 1.4644369648190853e-14 7.322184824095427e-16
12708.684183822079 1.453885224153194e-14 7.269426120765971e-16
12754.919178283937 1.438593384846801e-14 7.192966924234006e-16
12801.154172745797 1.4125159699817665e-14 7.062579849908833e-16
12847.389167207657 1.3979246405061225e-14 6.989623202530613e-16
12893.624161669515 1.4250400662937607e-14 7.125200331468804e-16
12939.859156131375 1.3974135092744843e-14 6.987067546372422e-16
12986.094150593237 1.3324472592442728e-14 6.662236296221365e-16
13032.329145055093 1.39738315921599e-14 6.98691579607995e-16
13078.564139516955 1.381438226075079e-14 6.907191130375396e-16
13124.799133978813 1.370771104725306e-14 6.85385552362653e-16
13171.034128440673 1.3451070698782559e-14 6.7255353493912795e-16
13217.269122902533 1.3543499583507745e-14 6.771749791753873e-16
13263.504117364393 1.3539312750697679e-14 6.76965637534884e-16
13309.739111826251 1.3368347987039779e-14 6.68417399351989e-16
13355.974106288111 1.3422266951601792e-14 6.711133475800897e-16
13402.209100749971 1.3356634820235094e-14 6.678317410117548e-16
13448.44409521183 1.3199331354647906e-14 6.599665677323953e-16
13494.679089673691 1.3088988367495739e-14 6.54449418374787e-16
13540.91408413555 1.294665365419357e-14 6.473326827096786e-16
13587.149078597411 1.2768482202170433e-14 6.384241101085217e-16
13633.384073059267 1.2660943868463578e-14 6.33047193423179e-16
13679.61906752113 1.273184738481577e-14 6.365923692407886e-16
13725.85406198299 1.2647860779484333e-14 6.323930389742167e-16
13772.089056444847 1.248914396654505e-14 6.244571983272525e-16
13818.324050906707 1.2023452597772563e-14 6.011726298886282e-16
13864.559045368567 1.232259991342418e-14 6.16129995671209e-16
13910.794039830425 1.2362766552241035e-14 6.181383276120518e-16
13957.029034292285 1.2266446855271711e-14 6.133223427635856e-16
14003.264028754147 1.2233247333631019e-14 6.11662366681551e-16
14049.499023216003 1.226069113313729e-14 6.130345566568646e-16
14095.734017677865 1.2034514933698528e-14 6.017257466849264e-16
14141.969012139723 1.1941707179211476e-14 5.970853589605738e-16
14188.204006601583 1.184620744651567e-14 5.923103723257835e-16
14234.439001063442 1.1663182863315703e-14 5.831591431657851e-16
14280.673995525303 1.1651677943939461e-14 5.825838971969731e-16
14326.908989987161 1.1518530927409247e-14 5.759265463704624e-16
14373.143984449021 1.1545156327109123e-14 5.772578163554561e-16
14419.378978910881 1.1368128558093396e-14 5.684064279046698e-16
14465.613973372741 1.129455280181414e-14 5.64727640090707e-16
14511.8489678346 1.1288143519844821e-14 5.644071759922411e-16
14558.08396229646 1.115961039522984e-14 5.579805197614921e-16
14604.318956758321 1.1235687303949115e-14 5.617843651974558e-16
14650.553951220178 1.112719395913235e-14 5.563596979566175e-16
14696.78894568204 1.094071133785905e-14 5.470355668929525e-16
14743.023940143898 1.0990585763554482e-14 5.495292881777241e-16
14789.258934605758 1.104617245979429e-14 5.523086229897145e-16
14835.493929067618 1.0908479961073408e-14 5.454239980536705e-16
14881.728923529477 1.064144777159709e-14 5.320723885798546e-16
14927.963917991336 1.055620315571802e-14 5.27810157785901e-16
14974.198912453196 1.042788548193372e-14 5.21394274096686e-16
15020.433906915056 1.0293093679374696e-14 5.146546839687348e-16
15066.668901376914 1.0058596446962758e-14 5.02929822348138e-16
15112.903895838775 1.0395548645578359e-14 5.19777432278918e-16
15159.138890300634 1.0551190658289024e-14 5.275595329144512e-16
15205.373884762494 1.0400266474847042e-14 5.200133237423521e-16
15251.608879224352 1.0323489777167795e-14 5.161744888583898e-16
15297.843873686214 1.0317148908744078e-14 5.158574454372039e-16
15344.078868148074 1.0249675776158311e-14 5.124837888079156e-16
15390.313862609932 1.0170044062761768e-14 5.085022031380885e-16
15436.548857071792 1.0179135493637617e-14 5.089567746818809e-16
15482.783851533652 1.0079762421622417e-14 5.039881210811208e-16
15529.01884599551 1.0004624019309268e-14 5.002312009654634e-16
15575.25384045737 9.878699227552064e-15 4.939349613776032e-16
15621.488834919232 9.783580598431403e-15 4.891790299215701e-16
15667.723829381088 9.706880894956565e-15 4.853440447478283e-16
15713.95882384295 9.546758937745443e-15 4.773379468872722e-16
15760.193818304808 9.116851849229957e-15 4.558425924614978e-16
15806.428812766668 9.204370470428542e-15 4.602185235214271e-16
15852.663807228526 9.19218818216147e-15 4.596094091080735e-16
15898.898801690388 9.164410031568082e-15 4.582205015784042e-16
15945.133796152246 9.090614546726419e-15 4.545307273363209e-16
15991.368790614106 9.260840290798865e-15 4.630420145399433e-16
16037.603785075966 9.22543182837016e-15 4.612715914185081e-16
16083.838779537824 9.284894177662208e-15 4.642447088831104e-16
16130.073773999684 9.077143179733834e-15 4.538571589866918e-16
16176.308768461544 9.054031327539765e-15 4.527015663769883e-16
16222.543762923406 9.038150358644961e-15 4.519075179322481e-16
16268.778757385262 9.082724624898056e-15 4.541362312449028e-16
16315.013751847124 9.10643462095175e-15 4.553217310475875e-16
16361.248746308982 8.921464887470568e-15 4.460732443735284e-16
16407.483740770844 8.766742046044178e-15 4.383371023022089e-16
16453.718735232702 8.716627831986007e-15 4.358313915993004e-16
16499.95372969456 8.636105290041258e-15 4.3180526450206293e-16
16546.188724156418 8.67989228955874e-15 4.3399461447793706e-16
16592.42371861828 8.817061745105551e-15 4.408530872552776e-16
16638.65871308014 8.791016686486137e-15 4.3955083432430687e-16
16684.893707542 8.667352233057118e-15 4.333676116528559e-16
16731.12870200386 8.456081076526857e-15 4.2280405382634285e-16
16777.363696465716 8.41052828539975e-15 4.2052641426998753e-16
